"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"cds-exercice-professionnel","cds-exercice-professionnel","","","",0,*,"","","","null {[]} {[]}
","Informations décrivant notamment la profession exercée, l’identité d’exercice d’un professionnel et le cadre de son exercice (civil, agent public, etc.).Il peut exister plusieurs exercices professionnels pour une personne à un instant donné.","Informations décrivant notamment la profession exercée, l’identité d’exercice d’un professionnel et le cadre de son exercice (civil, agent public, etc.).Il peut exister plusieurs exercices professionnels pour une personne à un instant donné.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"cds-exercice-professionnel.civiliteExercice","cds-exercice-professionnel.civiliteExercice","","","",0,1,"Y","","","Coding {[]} {[]}
","Civilité d’exercice du professionnel.","Civilité d’exercice du professionnel.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R11-CiviliteExercice/FHIR/TRE-R11-CiviliteExercice?vs","",,,,"ExerciceProfessionnel.civiliteExercice",0,1,"",""
"cds-exercice-professionnel.nomExercice","cds-exercice-professionnel.nomExercice","","","",0,1,"Y","","","string {[]} {[]}
","Nom sous lequel exerce le professionnel.","Nom sous lequel exerce le professionnel.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.nomExercice",0,1,"",""
"cds-exercice-professionnel.prenomExercice","cds-exercice-professionnel.prenomExercice","","","",0,1,"Y","","","string {[]} {[]}
","Prénom sous lequel exerce le professionnel.","Prénom sous lequel exerce le professionnel.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.prenomExercice",0,1,"",""
"cds-exercice-professionnel.profession","cds-exercice-professionnel.profession","","","",0,1,"Y","","","Coding {[]} {[]}
","Profession exercée ou future profession de l'étudiant.","Profession exercée ou future profession de l'étudiant.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/profession-vs|0.1.0-ballot","",,,,"ExerciceProfessionnel.profession",0,1,"",""
"cds-exercice-professionnel.typeProfession","cds-exercice-professionnel.typeProfession","","","",0,1,"","","","Coding {[]} {[]}
","Indique le type de profession de la personne.Exemples :** Professionnel de santé** Usager de titre** Professionnel secteur social** etc.","Indique le type de profession de la personne.Exemples :** Professionnel de santé** Usager de titre** Professionnel secteur social** etc.","","","","","","","","","",,"preferred","","https://interop.esante.gouv.fr/ig/mos/ValueSet/typeProfession-vs|0.1.0-ballot","",,,,"ExerciceProfessionnel.typeProfession",0,1,"",""
"cds-exercice-professionnel.categorieProfessionnelle","cds-exercice-professionnel.categorieProfessionnelle","","","",0,1,"","","","Coding {[]} {[]}
","Indique si le professionnel exerce sa profession en tant que :** M: Agent public** C: Civil** F: Fonctionnaire ** E: EtudiantL'autorité d'enregistrement du professionnel dépend de la catégorie de sa profession.","Indique si le professionnel exerce sa profession en tant que :** M: Agent public** C: Civil** F: Fonctionnaire ** E: EtudiantL'autorité d'enregistrement du professionnel dépend de la catégorie de sa profession.","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_R09-CategorieProfessionnelle/FHIR/TRE-R09-CategorieProfessionnelle?vs","",,,,"ExerciceProfessionnel.categorieProfessionnelle",0,1,"",""
"cds-exercice-professionnel.dateEffetExercice","cds-exercice-professionnel.dateEffetExercice","","","",0,1,"","","","date {[]} {[]}
","Date à partir de laquelle le professionnel exerce cette profession.","Date à partir de laquelle le professionnel exerce cette profession.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.dateEffetExercice",0,1,"",""
"cds-exercice-professionnel.dateFinEffetExercice","cds-exercice-professionnel.dateFinEffetExercice","","","",0,1,"","","","date {[]} {[]}
","Date à partir de laquelle le professionnel n’exerce plus cette profession.","Date à partir de laquelle le professionnel n’exerce plus cette profession.","","","","","","","","","",,,,,"",,,,"ExerciceProfessionnel.dateFinEffetExercice",0,1,"",""
"cds-exercice-professionnel.departementPremierReferencementAE","cds-exercice-professionnel.departementPremierReferencementAE","","","",0,1,"","","","Coding {[]} {[]}
","Code du département du premier référencement, pour un référencement de nature « inscription à l’ordre ».","Code du département du premier référencement, pour un référencement de nature « inscription à l’ordre ».","","","","","","","","","",,"preferred","","https://mos.esante.gouv.fr/NOS/TRE_G09-DepartementOM/FHIR/TRE-G09-DepartementOM?vs","",,,,"ExerciceProfessionnel.departementPremierReferencementAE",0,1,"",""
